origem,destino,tipo,peso_sugerido,numero_issue
brentleyjones,tcamin,pr,2,918
brentleyjones,tcamin,pr,2,918
brentleyjones,tcamin,pr,2,918
brentleyjones,dflems,pr,2,917
yonaskolb,codeman9,pr,2,916
yonaskolb,andrewreach,pr,2,915
yonaskolb,ooodin,pr,2,913
yonaskolb,ooodin,pr,2,913
brentleyjones,jsorge,pr,2,912
yonaskolb,jsorge,pr,2,912
yonaskolb,jsorge,pr,2,912
elland,jsorge,pr,2,912
yonaskolb,ikarishinjigao,issue,2,910
brentleyjones,ikarishinjigao,issue,2,910
dflems,brentleyjones,pr,2,909
dflems,brentleyjones,pr,2,909
dflems,brentleyjones,pr,2,909
dflems,brentleyjones,pr,2,909
yonaskolb,brentleyjones,pr,2,908
kwridan,jsorge,issue,2,906
ThePredators,jsorge,issue,2,906
yonaskolb,jsorge,issue,2,906
codeman9,kastiglione,issue,2,903
muizidn,mrtsamma,issue,2,901
CraigSiemens,mrtsamma,issue,2,901
brentleyjones,muizidn,pr,2,899
yonaskolb,muizidn,pr,2,899
brentleyjones,KhaosT,pr,2,896
toshi0383,KhaosT,pr,2,896
brentleyjones,liamnichols,pr,2,888
yonaskolb,liamnichols,pr,2,888
yonaskolb,rvi,issue,2,886
yonaskolb,maciejpiotrowski89,pr,2,884
yonaskolb,nkukushkin,pr,2,878
brentleyjones,rvi,issue,2,873
brentleyjones,pinda,pr,2,871
brentleyjones,pinda,pr,2,871
brentleyjones,pinda,pr,2,871
brentleyjones,pinda,pr,2,871
yonaskolb,pinda,pr,2,871
pinda,elland,pr,2,869
pinda,elland,pr,2,869
yonaskolb,elland,pr,2,869
yonaskolb,helbertgs,issue,2,867
ghost,helbertgs,issue,2,867
yonaskolb,helbertgs,issue,2,867
brentleyjones,elland,pr,2,866
brentleyjones,elland,pr,2,866
yonaskolb,elland,pr,2,866
brentleyjones,elland,pr,2,866
yonaskolb,elland,pr,2,866
brentleyjones,asifmohd,pr,2,863
yonaskolb,asifmohd,pr,2,863
brentleyjones,asifmohd,pr,2,863
keith,asifmohd,pr,2,863
brentleyjones,KhaosT,pr,2,862
EricRabil,mrabiciu,pr,2,860
yonaskolb,2075,issue,2,859
yonaskolb,maciejpiotrowski89,pr,2,858
brentleyjones,akkyie,pr,2,857
brentleyjones,Beniamiiin,issue,2,855
brentleyjones,Beniamiiin,issue,2,855
yonaskolb,mattrobmattrob,issue,2,854
brentleyjones,akkyie,pr,2,853
brentleyjones,akkyie,pr,2,853
yonaskolb,jeffctown,pr,2,851
brentleyjones,d-date,pr,2,847
brentleyjones,d-date,pr,2,847
yonaskolb,d-date,pr,2,847
brentleyjones,d-date,pr,2,847
brentleyjones,d-date,pr,2,847
yonaskolb,d-date,pr,2,847
yonaskolb,d-date,pr,2,847
yonaskolb,omares,pr,2,846
selin194,omares,pr,2,846
dpfannenstiel,omares,pr,2,846
jsorge,omares,pr,2,846
liamnichols,omares,pr,2,846
mat1th,omares,pr,2,846
albertodebortoli,omares,pr,2,846
namolnad,omares,pr,2,846
foxware00,omares,pr,2,846
hakkurishian,omares,pr,2,846
yonaskolb,omares,pr,2,846
yonaskolb,ileitch,issue,2,841
yonaskolb,ileitch,issue,2,841
yonaskolb,ileitch,pr,2,839
yonaskolb,jcolicchio,pr,2,834
yonaskolb,brentleyjones,pr,2,832
brentleyjones,toshi0383,pr,2,830
yonaskolb,toshi0383,pr,2,830
brentleyjones,ileitch,pr,2,828
kateinoigakukun,ileitch,pr,2,827
brentleyjones,scelis,pr,2,824
yonaskolb,brentleyjones,pr,2,823
yonaskolb,brentleyjones,pr,2,823
